order,recipe,repeat_id,source_selection_id,label,image_id,source_path,input_folder,input_filename,output_path,input_sha256,output_sha256
28,messenger_upload_download,rep_01,rtv03_dymo_label_maker_10,dymo_label_maker,15409,data/raw/mini_cure_or/test/15409.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8604.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/15409.jpg,5e8bf92ae10f3609ea4772c61992f64362af788766f39021c3d619e449a34150,5e8bf92ae10f3609ea4772c61992f64362af788766f39021c3d619e449a34150
29,messenger_upload_download,rep_01,rtv03_hair_brush_02,hair_brush,11890,data/raw/mini_cure_or/test/11890.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8605.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/11890.jpg,1e0c519f6c4e931bea3a311f7ef7f3ea700d9913e3fa6f62c8aa14682d252c8a,1e0c519f6c4e931bea3a311f7ef7f3ea700d9913e3fa6f62c8aa14682d252c8a
30,messenger_upload_download,rep_01,rtv03_hair_brush_05,hair_brush,13820,data/raw/mini_cure_or/test/13820.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8606.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/13820.jpg,9c6b20ae57c1785c32ea5b09f2dd825b28e5cb3e7139993cadea5184806d3839,9c6b20ae57c1785c32ea5b09f2dd825b28e5cb3e7139993cadea5184806d3839
31,messenger_upload_download,rep_01,rtv03_hair_brush_06,hair_brush,15051,data/raw/mini_cure_or/test/15051.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8607.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/15051.jpg,10afbfca0f833368c937f57c75241f6073b0560a59e4df43b0c2d6d18aedb4ff,10afbfca0f833368c937f57c75241f6073b0560a59e4df43b0c2d6d18aedb4ff
32,messenger_upload_download,rep_01,rtv03_hair_brush_07,hair_brush,15162,data/raw/mini_cure_or/test/15162.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8608.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/15162.jpg,233900e5f3257a2d1e6aff28aa16ab42e790466fdcc1b5cd88801282285d3864,233900e5f3257a2d1e6aff28aa16ab42e790466fdcc1b5cd88801282285d3864
33,messenger_upload_download,rep_01,rtv03_hair_brush_08,hair_brush,15491,data/raw/mini_cure_or/test/15491.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8609.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/15491.jpg,07c64bc42a95751f31c8e7d9a345ef393c5bf5a5885ab0a797e3b65f393179ed,07c64bc42a95751f31c8e7d9a345ef393c5bf5a5885ab0a797e3b65f393179ed
34,messenger_upload_download,rep_01,rtv03_hair_brush_09,hair_brush,15550,data/raw/mini_cure_or/test/15550.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8610.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/15550.jpg,6e1c8e7601832e35491a77739a449f3e20950621510da686b4c52a1d31deff57,6e1c8e7601832e35491a77739a449f3e20950621510da686b4c52a1d31deff57
35,messenger_upload_download,rep_01,rtv03_hair_brush_10,hair_brush,15874,data/raw/mini_cure_or/test/15874.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8611.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/15874.jpg,a268ee5c0df897344d5e1f66a2b031ee3400ffe7f624055e9f94fa2dac6afc7f,a268ee5c0df897344d5e1f66a2b031ee3400ffe7f624055e9f94fa2dac6afc7f
36,messenger_upload_download,rep_01,rtv03_lg_cell_phone_03,lg_cell_phone,11291,data/raw/mini_cure_or/test/11291.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8612.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/11291.jpg,cd91ffedecd34f83cafbe9639b514feb0b19ac213fe25886716f03e8f02e0602,cd91ffedecd34f83cafbe9639b514feb0b19ac213fe25886716f03e8f02e0602
37,messenger_upload_download,rep_01,rtv03_lg_cell_phone_05,lg_cell_phone,12550,data/raw/mini_cure_or/test/12550.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8613.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/12550.jpg,f72afb8f75a1ac48adeb13791e1282db82814608578e4a1787c91608388e2878,f72afb8f75a1ac48adeb13791e1282db82814608578e4a1787c91608388e2878
38,messenger_upload_download,rep_01,rtv03_lg_cell_phone_06,lg_cell_phone,12704,data/raw/mini_cure_or/test/12704.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8614.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/12704.jpg,bb71056db2b392ea34a871a1007ff26c6d7d090933694f4e7c51a475091e12a9,bb71056db2b392ea34a871a1007ff26c6d7d090933694f4e7c51a475091e12a9
39,messenger_upload_download,rep_01,rtv03_lg_cell_phone_07,lg_cell_phone,13780,data/raw/mini_cure_or/test/13780.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8615.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/13780.jpg,5d065bd6357037e92d66050a4773010f3334776ddc284fbf7670783f0ef27c7e,5d065bd6357037e92d66050a4773010f3334776ddc284fbf7670783f0ef27c7e
40,messenger_upload_download,rep_01,rtv03_lg_cell_phone_08,lg_cell_phone,13870,data/raw/mini_cure_or/test/13870.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8616.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/13870.jpg,78cb043a3559a3d10bde0ccfc14532b85091526881dbeb2c7717a3df4db905c7,78cb043a3559a3d10bde0ccfc14532b85091526881dbeb2c7717a3df4db905c7
41,messenger_upload_download,rep_01,rtv03_lg_cell_phone_09,lg_cell_phone,13897,data/raw/mini_cure_or/test/13897.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8617.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/13897.jpg,e5d9ffd6542f82870f25c2dd08571421e7b45dbc831d91fed8e90771cb8fa0ca,e5d9ffd6542f82870f25c2dd08571421e7b45dbc831d91fed8e90771cb8fa0ca
42,messenger_upload_download,rep_01,rtv03_lg_cell_phone_10,lg_cell_phone,15164,data/raw/mini_cure_or/test/15164.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8618.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/15164.jpg,477e6193618e041df16dbac9944ca1255ef072c593777ab0680e55001eb17029,477e6193618e041df16dbac9944ca1255ef072c593777ab0680e55001eb17029
43,messenger_upload_download,rep_01,rtv03_pan_04,pan,11608,data/raw/mini_cure_or/test/11608.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8619.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/11608.jpg,4fd9ce14209f27fa7dc2e83201f22d533c7962141ca37f31e7948ebe1e0e4952,4fd9ce14209f27fa7dc2e83201f22d533c7962141ca37f31e7948ebe1e0e4952
44,messenger_upload_download,rep_01,rtv03_pan_05,pan,12582,data/raw/mini_cure_or/test/12582.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8620.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/12582.jpg,46f187758905457118d661d468d585327a6e4dab9ad35c49d88ab3bca75f1fe5,46f187758905457118d661d468d585327a6e4dab9ad35c49d88ab3bca75f1fe5
45,messenger_upload_download,rep_01,rtv03_pan_06,pan,12844,data/raw/mini_cure_or/test/12844.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8621.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/12844.jpg,ea7d3f5d275d957cb0aa4461073aabdbb5e28fe6a9bef9e381acf2dff650e81d,ea7d3f5d275d957cb0aa4461073aabdbb5e28fe6a9bef9e381acf2dff650e81d
46,messenger_upload_download,rep_01,rtv03_pan_07,pan,13142,data/raw/mini_cure_or/test/13142.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8622.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/13142.jpg,133383cd44c91c95ae940f3b3d084b622bcdc984eccd520e1d27c180f29d7c02,133383cd44c91c95ae940f3b3d084b622bcdc984eccd520e1d27c180f29d7c02
47,messenger_upload_download,rep_01,rtv03_pan_08,pan,14382,data/raw/mini_cure_or/test/14382.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8623.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/14382.jpg,5683d29b22f543d0ceb62a35e197314a20cc80511629ba0f6386cab367348b4a,5683d29b22f543d0ceb62a35e197314a20cc80511629ba0f6386cab367348b4a
48,messenger_upload_download,rep_01,rtv03_pan_09,pan,15772,data/raw/mini_cure_or/test/15772.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8624.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/15772.jpg,92c3a255b1fb85b02435c2c21b4f19c675f5fc4b08f3551b6cfcef9fea8ece73,92c3a255b1fb85b02435c2c21b4f19c675f5fc4b08f3551b6cfcef9fea8ece73
49,messenger_upload_download,rep_01,rtv03_pan_10,pan,15808,data/raw/mini_cure_or/test/15808.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8625.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/15808.jpg,b7b8d7adf70cb660096c90a5a28bf571eb072d3662c0c5253a3742c0cd62fa48,b7b8d7adf70cb660096c90a5a28bf571eb072d3662c0c5253a3742c0cd62fa48
50,messenger_upload_download,rep_01,rtv03_shoes_02,shoes,10854,data/raw/mini_cure_or/test/10854.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8626.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/10854.jpg,8002e90892fc904d428f73b011fde13a799d4d51d813f0214196c9eb2ac87305,8002e90892fc904d428f73b011fde13a799d4d51d813f0214196c9eb2ac87305
51,messenger_upload_download,rep_01,rtv03_shoes_04,shoes,12605,data/raw/mini_cure_or/test/12605.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8627.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/12605.jpg,b8a944c09cd898b48e7901b999b5a6f43b418739e3ce1ba5d77f59e287533fc2,b8a944c09cd898b48e7901b999b5a6f43b418739e3ce1ba5d77f59e287533fc2
52,messenger_upload_download,rep_01,rtv03_shoes_05,shoes,13037,data/raw/mini_cure_or/test/13037.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8628.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/13037.jpg,b253203bbd7548d736f8d994f24aaf8192b0370c1e94fcb807925bd997377510,b253203bbd7548d736f8d994f24aaf8192b0370c1e94fcb807925bd997377510
53,messenger_upload_download,rep_01,rtv03_shoes_07,shoes,13819,data/raw/mini_cure_or/test/13819.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8629.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/13819.jpg,b0dd7efed85050204f5aca830b837935bf298ef7a33045d0f1ff7a1d6b722a8e,b0dd7efed85050204f5aca830b837935bf298ef7a33045d0f1ff7a1d6b722a8e
54,messenger_upload_download,rep_01,rtv03_shoes_08,shoes,14426,data/raw/mini_cure_or/test/14426.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8630.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/14426.jpg,a9a099bff0bdffe8fc648ae79b3b2f26f921abf36a98eda464e7a1733cc2dbed,a9a099bff0bdffe8fc648ae79b3b2f26f921abf36a98eda464e7a1733cc2dbed
55,messenger_upload_download,rep_01,rtv03_shoes_09,shoes,14640,data/raw/mini_cure_or/test/14640.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8631.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/14640.jpg,6a92419eae8301f1bd1539f68aa2df68c09f82d58900dcb2189d92697e0a5a5f,6a92419eae8301f1bd1539f68aa2df68c09f82d58900dcb2189d92697e0a5a5f
56,messenger_upload_download,rep_01,rtv03_shoes_10,shoes,15631,data/raw/mini_cure_or/test/15631.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8632.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/15631.jpg,8337885ea2f92df4de3fae39788346275738cf6d6c502f16590e10e5c3fa0cbc,8337885ea2f92df4de3fae39788346275738cf6d6c502f16590e10e5c3fa0cbc
57,messenger_upload_download,rep_01,rtv03_toy_04,toy,13864,data/raw/mini_cure_or/test/13864.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8633.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/13864.jpg,7163f1ae904adac85a2ba9b145e98d514924819e1a53c7c2f3a2c58c4f87da6c,7163f1ae904adac85a2ba9b145e98d514924819e1a53c7c2f3a2c58c4f87da6c
58,messenger_upload_download,rep_01,rtv03_toy_05,toy,13931,data/raw/mini_cure_or/test/13931.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8634.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/13931.jpg,da449fe09b6b24ab4b52f75c87c10d77967f67350ac1fc320b01df8c4b6a27b7,da449fe09b6b24ab4b52f75c87c10d77967f67350ac1fc320b01df8c4b6a27b7
59,messenger_upload_download,rep_01,rtv03_toy_06,toy,15247,data/raw/mini_cure_or/test/15247.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8635.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/15247.jpg,6fcd41a3c216dc8f3b45eb1a7b8cdef52f927f687a35b57d500e6117d0597f71,6fcd41a3c216dc8f3b45eb1a7b8cdef52f927f687a35b57d500e6117d0597f71
60,messenger_upload_download,rep_01,rtv03_toy_07,toy,15321,data/raw/mini_cure_or/test/15321.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8636.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/15321.jpg,90744f0c3a70eb4e706c8e4fcf8905c87135e639c787089aefcf5ddc79e93ebf,90744f0c3a70eb4e706c8e4fcf8905c87135e639c787089aefcf5ddc79e93ebf
61,messenger_upload_download,rep_01,rtv03_toy_08,toy,15600,data/raw/mini_cure_or/test/15600.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8637.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/15600.jpg,3dddb0038a6638871199e4fddab85cd31ab2e313620168345bdf601ff0aaf1b3,3dddb0038a6638871199e4fddab85cd31ab2e313620168345bdf601ff0aaf1b3
62,messenger_upload_download,rep_01,rtv03_toy_09,toy,16118,data/raw/mini_cure_or/test/16118.jpg,/Users/yaroslav/Desktop/передача фото через WhatsApp - rep-1,IMG_8638.JPG,data/real_transfer/v03/images/messenger_upload_download/rep_01/16118.jpg,ab87436c1968dacaf3cf5165ea68df77d5b43d946fd167f3c1a80b248d3ddefb,ab87436c1968dacaf3cf5165ea68df77d5b43d946fd167f3c1a80b248d3ddefb
